Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
As Ad Ks Kh,0,0,18711,2860,99,259,2931,139,1
Ah Ks Kh 8c,0,11011,10170,2512,86,221,924,72,4
As Jc 0d 8c,5862,11358,3910,707,2763,259,127,12,2
8s 8c 6s 2c,0,10301,10345,2353,355,446,1126,69,5
Kc 7c 4c 2c,3108,6655,2771,526,115,11712,108,3,2
As Ks Qs Qc,0,8771,9377,2338,870,2582,935,60,67
Qd Jh 0d 8c,4543,9350,3553,638,6571,218,112,9,6
As Ah Kh 8c,0,10846,10360,2478,90,243,909,73,1
As 0d 8c 7c,6285,11723,3850,720,2078,230,105,3,6
Kc 7c 6h 4c,5473,10713,3636,701,1679,2674,115,7,2
Kc Qc 0c 4c,2784,6301,2674,557,899,11539,115,7,124
As Kh Qs Js,4337,8775,3311,604,5178,2594,127,7,67
As Ks Kh Jh,0,9920,10128,2510,932,448,984,66,12
9h 8s 8c 6s,0,9494,9912,2223,2001,239,1066,62,3
As Ks Kh 3h,0,10647,10251,2452,191,494,900,65,0
Jh 0s 0d 8c,0,9565,9938,2390,2038,0,1005,64,0
As Ks Kh 9s,0,9215,9538,2338,77,2731,1024,77,0
Kc 0c 7s 7c,0,9113,9539,2433,308,2607,924,72,4
Kc 0c 7c 4h,6103,11276,3832,673,472,2519,113,8,4
Kc 0c 5h 4c,5967,11282,3849,699,464,2607,121,8,3
As Ah Kh Qd,0,10306,10041,2430,956,229,962,76,0
As Ah Kh 0d,0,10136,10115,2502,1045,230,907,65,0
Qh 0c 7c 4c,6125,11149,3818,698,478,2600,116,5,11
Kc 7c 4c 3h,5924,10881,3760,702,973,2647,109,2,2
Kc 8s 7c 6s,5704,11295,3926,681,2764,498,124,7,1
As 0h 0d 8c,0,10705,10383,2516,382,0,950,64,0
Jh 0d 8c 2c,6356,11743,3864,739,1942,246,101,9,0
As Jh 0d 9h,5953,11243,3940,711,2784,229,129,4,7
Ks Qs Js 9s,2196,5041,2516,439,2798,10277,107,9,1617
As Ks Kh 9d,0,10897,10199,2495,105,281,944,77,2
Jh 8s 7c 6s,5896,11549,3795,743,2663,206,139,4,5
As Ks Js 4d,5972,10755,3808,742,986,2552,109,5,71
As Ks Qs 2c,5993,10908,3684,675,926,2622,124,9,59
As Js Jh 0d,0,10113,10019,2409,1194,245,942,77,1
As Kc 0d 8c,6763,12084,3942,739,1093,249,124,6,0
Ah Ks Kh 2d,0,10673,10396,2468,179,235,970,79,0
As Ks Js 8d,5975,10894,3714,642,970,2637,107,4,57
Jh 0d 8c 7h,4921,9580,3496,614,5998,261,123,6,1
As Qs Js 7d,5982,10795,3784,704,913,2601,124,10,87
Jd 8s 7c 6s,5872,11365,3921,704,2753,264,110,6,5
As Jh 8c 5s,7123,12462,3828,713,507,237,124,5,1
Kc 0c 7c 5c,2925,6431,2776,533,238,11974,110,3,10
As Ks Qs 5h,6021,10782,3732,662,942,2644,145,11,61
As Ks Js 9s,2968,6292,2672,581,440,11854,113,4,76
As 8s 8c 7c,0,10431,10244,2455,380,486,930,67,7
Kc 0c 5d 4c,6125,11234,3752,652,475,2628,124,4,6
As Jh Jd 0d,0,9968,10232,2463,1127,229,908,70,3
9d 8c 7c 6s,3131,7341,3036,556,10581,220,125,5,5
Jh 0d 8c 6h,6342,11575,3884,721,2114,231,128,5,0
Ks Qs Js 4c,5500,10580,3793,712,1696,2474,115,6,124
As Kc Qs Js,4442,8774,3340,589,5063,2608,120,6,58
As Ks Js 0s,2154,5151,2478,437,2889,10185,124,7,1575
0c 7c 6s 4c,5086,10309,3748,682,2393,2651,119,7,5
Ah Ks Kh 9h,0,9327,9576,2348,71,2658,952,67,1
As Jh 8c 2d,7353,12520,3863,725,392,0,138,9,0
As Ks Js 6h,5943,11014,3710,710,842,2590,112,10,69
Ks Qs Js 0s,1391,3863,2111,435,5266,8785,100,6,3043
As Ah Kh 4d,0,10710,10346,2508,180,269,906,79,2
As 0d 8c 2c,7185,12455,3861,723,434,217,118,7,0
As Ah Ks 0c,0,10110,10251,2428,945,241,934,89,2
9h 8c 7c 6s,3262,7215,3147,572,10412,254,125,8,5
8c 7c 6s 2d,5836,11315,4010,700,2785,225,121,4,4
As Jh 8c 7d,6879,12108,3872,799,1232,0,107,3,0
As 0d 8c 5c,7068,12500,3785,742,565,228,105,4,3
0s 8s 8c 7c,0,9278,9818,2387,1881,452,1075,90,19
Kc 0c 7c 2h,6233,11210,3767,718,294,2656,110,6,6
As Jh 8c 7s,6837,12000,3811,758,1251,221,117,5,0
As Jh 8c 4s,7215,12430,3834,698,475,222,119,6,1
As 0d 8c 3s,7298,12252,3927,717,456,228,111,10,1
0c 8s 7c 6s,4441,9290,3446,600,6624,464,119,10,6
8s 7c 6s 4d,4602,9279,3369,640,6770,207,124,4,5
As Ks Js 7d,5962,10873,3791,646,922,2583,139,5,79
As Ks Qs 4c,5926,10965,3761,696,894,2573,118,9,58
8s 8c 6s 2h,0,10621,10313,2355,378,201,1058,69,5
As Ah Ks 8d,0,10806,10327,2535,92,254,925,60,1
Kc 0c 7d 4c,6008,11213,3757,683,480,2716,135,6,2
0s 0c 7c 4c,0,8953,9735,2219,320,2668,1044,54,7
Kc 9h 7c 4c,6361,11206,3652,676,364,2611,121,7,2
As Ah Ac Ks,0,0,0,15028,91,241,8103,1535,2
Kc 0s 0c 4c,0,9075,9777,2327,163,2653,932,68,5
As Ks Qs 5c,5935,10939,3747,654,938,2594,120,4,69
Ks Qs Js Jc,0,8240,9283,2192,1653,2476,943,73,140
As Jh 8c 5d,7241,12508,3860,706,539,0,140,6,0
As Jh 0d 0c,0,10233,10142,2454,1179,0,927,65,0
8c 7c 6s 2h,5912,11329,3914,736,2778,221,102,4,4
Ah Ks Kh 7d,0,10984,10152,2497,92,221,982,70,2
8c 7c 6s 3h,5848,11406,3915,667,2794,222,135,6,7
Ad Ks Qs Js,4373,8605,3286,642,5268,2542,139,4,141
As Ks Kh 8c,0,10842,10326,2406,84,251,1007,83,1
Ah Ks Kh 5d,0,10808,10332,2390,178,223,978,89,2
Kc 7c 4c 3c,2927,6337,2801,557,482,11694,124,6,72
As Ks Kh 3s,0,9201,9660,2334,165,2568,1003,66,3
Qs 8s 8c 6s,0,9066,9697,2279,283,2641,939,89,6
Ah Ks Kh 7s,0,10702,10255,2507,88,422,950,75,1
As Ks Qs Js,2257,5119,2420,434,2845,10243,106,5,1571
Kc 8d 7c 4c,6015,10692,3799,727,1037,2612,109,6,3
As Kc Jh 8c,7009,11944,3871,718,1100,230,126,2,0
Ah Ks Kh Qh,0,8648,9495,2285,871,2598,954,69,80
Kc Qc 7c 4c,3109,6636,2721,493,141,11773,122,3,2
As Ad Jh 0d,0,9952,10044,2548,1220,270,903,63,0
Ah Ks Kh 6c,0,10671,10527,2466,79,242,940,71,4
As Ah Ks Js,0,8784,9477,2368,840,2484,920,70,57
As Jh 0d 8h,5897,11340,3899,727,2793,233,100,6,5
As Ah Kh 7h,0,9351,9621,2354,62,2668,871,71,2
As Ks Js 2h,5918,10994,3807,693,929,2466,116,10,67
As Ah Kh Jh,0,8705,9526,2378,867,2546,859,70,49
Ah 8s 8c 7c,0,10553,10383,2419,328,238,1006,69,4
As Qs Qd Js,0,8783,9357,2308,922,2506,970,78,76
Jh 0d 8c 4s,6413,11806,3860,753,2045,0,115,8,0
As Ah Kh Kc,0,0,18775,2790,87,241,2971,134,2
Kc 0c 9d 7c,5187,10218,3747,729,2395,2596,120,4,4
Ah Ks Kh 6s,0,10801,10164,2435,95,479,949,77,0
Jh 0d 8c 4c,6213,11951,3890,621,1959,247,112,6,1
As Ks Kh 5d,0,10781,10355,2427,192,212,948,83,2
Ah 8c 7c 6s,5860,11446,3854,741,2739,230,116,5,9
Jh 8s 8c 6s,0,10640,10283,2421,360,242,991,59,4
0d 0c 7c 4c,0,8891,9709,2328,297,2691,1003,75,6
Ks Qs Js 0c,2720,6554,2911,566,9461,2504,128,7,149
8s 8c 7c 6s,0,8847,9541,2263,2746,486,1056,53,8
As Ah Kh 8s,0,10666,10299,2436,110,496,917,75,1
Ks Qs Js 7c,5496,10629,3714,694,1699,2522,110,3,133
As Ks Qs 2s,3048,6355,2711,534,468,11682,118,8,76
Qh 8s 8c 7c,0,10587,10344,2434,376,259,926,64,10
As Qs Js Jd,0,8608,9452,2341,911,2591,960,72,65
Kc 0c 4h 4c,0,9200,9561,2358,172,2693,956,58,2
Jh 0d 8c 5c,6287,11653,3910,742,2050,235,119,4,0
As Kd Qs Js,4356,8833,3285,608,5148,2582,131,3,54
9s 8s 7c 6s,2694,6639,2912,562,9490,2451,111,8,133
Kc 0c 8d 4c,6179,11233,3789,705,368,2611,110,3,2
0c 9c 7c 4c,2593,6330,2681,491,979,11664,124,4,134
Kc 0c 7c 6d,5769,10988,3668,704,1121,2630,111,2,7
As Qs Js 0d,3889,8459,3373,611,5901,2565,131,4,67
Jd 8s 8c 6s,0,10559,10300,2435,380,227,1022,69,8
As Ks Qs 0c,4351,8722,3318,685,5093,2635,120,6,70
8c 7c 6s 3c,5038,10208,3749,692,2517,2668,113,8,7
As Ks Kh 2h,0,10534,10235,2527,188,475,968,73,0
Ah 8s 8c 6s,0,10512,10465,2494,258,223,990,55,3
Qs Jh 0d 8c,4653,9472,3428,632,6675,0,133,7,0
Ad 8c 7c 6s,5999,11241,3896,690,2809,249,101,6,9
8s 8c 7c 5h,0,9467,9913,2218,2004,243,1081,72,2
Kc 0c 8s 7c,5381,10646,3798,695,1781,2562,127,3,7
As Jh Jc 0d,0,10190,10188,2395,1166,0,982,79,0
As Jh 0d 2d,6713,12041,3956,730,1210,226,120,4,0
Js 8c 7c 6s,5893,11194,3942,701,2671,478,112,6,3
As Ah Kh 4c,0,10649,10448,2543,165,227,883,85,0
As Ks Js 0d,4357,8720,3328,586,5199,2615,118,5,72
Kc Jd 7c 4c,5931,11317,3768,740,433,2668,131,12,0
As Jh 0d 6c,6944,12034,4002,695,1202,0,119,4,0
As Qs Js 0h,3851,8422,3420,634,5909,2569,117,6,72
Jh 8c 7c 6s,6040,11374,3825,712,2673,246,117,4,9
As Qs Js Jh,0,8620,9369,2299,916,2665,986,80,65
8s 7c 6s 6h,0,8901,9721,2236,2746,248,1055,87,6
As Ah Ks 9h,0,10556,10411,2519,89,465,905,54,1
As Jh 0d 8c,6062,11345,3890,727,2856,0,117,3,0
8s 7c 6s 3c,5757,11291,3927,666,2726,498,121,8,6
Kc 0c 7c 3h,6149,11243,3754,674,377,2701,92,5,5
Kh 8s 8c 7c,0,10456,10379,2419,377,261,1029,78,1
0c 8c 7c 4c,2462,6007,2737,533,1267,11673,120,6,195
As Ks Qs 6c,6039,10942,3702,697,863,2565,124,5,63
As Ah Ks 7s,0,9201,9693,2372,72,2662,938,62,0
8s 8c 7c 5s,0,9269,9855,2363,1933,444,1067,60,9
Ks Qs Js 2c,5558,10724,3748,698,1575,2445,119,13,120
As Ks Kh 6c,0,10821,10426,2377,102,249,945,78,2
Ks Qs Js 3c,5542,10601,3758,667,1610,2567,121,4,130
As Kc 0c 4c,5894,10972,3693,662,992,2656,126,5,0
As Jh 8c 5h,7259,12180,3934,730,551,235,110,1,0
As Ad 0d 8c,0,10573,10276,2549,376,272,873,79,2
As 0d 8s 8c,0,10620,10311,2431,417,245,906,70,0
Kc 0c 7s 4c,6036,11134,3780,696,526,2729,94,2,3
8s 8c 6s 5s,0,8036,9163,2148,1775,2613,1067,65,133
As Jh 8c 6d,7359,12446,3888,711,469,0,121,6,0
8s 8h 8c 7c,0,0,0,16292,334,258,6528,1585,3
0c 7c 4c 2d,6139,11278,3674,652,418,2717,115,4,3
As Ah Ks 4s,0,9245,9623,2367,142,2632,920,68,3
8s 8c 7c 2d,0,10580,10325,2414,351,245,999,82,4
As Ah Ks 5c,0,10704,10325,2544,189,240,923,71,4
Jh 0d 8c 5d,6275,11833,3793,707,2017,250,120,5,0
As Ks Qd Js,4299,8863,3366,608,5141,2525,114,9,75
Kc 7c 4c 3s,5838,11052,3684,683,1002,2626,109,5,1
0c 7c 4c 3s,5766,10901,3846,667,1084,2583,144,5,4
0c 9s 7c 4c,5440,10613,3743,694,1793,2609,97,7,4
0c 7c 4h 4c,0,9226,9576,2270,300,2567,990,64,7
8s 8c 6s 5d,0,9506,9989,2242,1953,218,1006,78,8
Kd 8s 7c 6s,5878,11411,3928,698,2729,241,96,8,11
Ah Ks Kh Jd,0,10137,10272,2365,961,244,959,62,0
Ad 8s 7c 6s,5919,11305,3908,713,2769,254,129,1,2
As Ah Kh 0h,0,8637,9576,2352,859,2551,908,59,58
Kh Kc 0c 7c,0,8921,9708,2436,319,2641,896,76,3
Ks Qs Js 3s,2779,6244,2718,503,858,11634,120,4,140
As Ah Ks 4d,0,10510,10483,2530,205,230,964,74,4
Kc 0h 7c 4c,6124,11312,3673,691,456,2620,119,2,3
Kc 0c 9s 7c,5158,10190,3750,711,2430,2626,124,5,6
As Ks Js 8h,5900,10954,3810,701,943,2535,87,5,65
Kc 0c 9h 4c,5915,10850,3759,653,1009,2685,116,8,5
9d 8s 8c 7c,0,8759,9812,2243,2795,246,1068,73,4
As Ah Ks Kh,0,0,18413,2862,86,449,3043,147,0
As Ks Qs 0h,4337,8805,3224,639,5214,2606,101,3,71
As Ks Qs 0s,2277,5117,2453,467,2869,10129,122,9,1557
